musician_id,display_name,age,instrument,home_region,home_lat,home_lng,transport,can_drive,years_with_org,max_shows_per_month,min_songs,typical_songs,max_songs
M37,Musician 37,17,guitar,Vaughan,43.8439,-79.4936,transit,False,0.1,1,1,2,4
M38,Musician 38,13,piano,Markham,43.8341,-79.3596,guardian,False,0.2,4,1,3,4
M39,Musician 39,13,piano,Brampton,43.7359,-79.7273,guardian,False,0.2,2,1,3,6
M40,Musician 40,14,piano,Mississauga,43.6171,-79.6382,guardian,False,0.6,3,1,3,3
M41,Musician 41,19,piano,Markham,43.8528,-79.3139,transit,False,0.2,3,1,3,5
M42,Musician 42,18,cello,North York,43.7234,-79.3914,car,True,3.9,3,1,3,6
M43,Musician 43,20,piano,North York,43.7562,-79.4034,car,True,1.2,3,1,2,5
M44,Musician 44,16,piano,North York,43.7823,-79.4023,guardian,False,1.6,3,1,3,4
M45,Musician 45,18,piano,Etobicoke,43.6514,-79.5168,car,True,2.4,3,1,3,4
M46,Musician 46,20,piano,North York,43.7282,-79.4515,car,True,1.7,3,1,3,6
M47,Musician 47,16,piano,Toronto-Downtown,43.6308,-79.373,guardian,False,2.6,3,1,3,5
M48,Musician 48,19,guitar,North York,43.7813,-79.4328,transit,False,2.1,3,1,3,5
M49,Musician 49,15,piano,Oakville,43.4674,-79.6817,guardian,False,3.2,2,1,3,5
M50,Musician 50,16,piano,Scarborough,43.7822,-79.2467,guardian,False,0.2,2,1,3,6
M51,Musician 51,16,piano,Markham,43.8538,-79.3113,guardian,False,0.1,4,1,2,4
M52,Musician 52,13,piano,Oakville,43.4769,-79.7016,guardian,False,1.5,4,1,3,5
M53,Musician 53,19,piano,Richmond Hill,43.893,-79.4568,transit,False,1.6,3,1,2,4
M54,Musician 54,16,piano,Mississauga,43.5969,-79.6266,guardian,False,3.3,4,1,2,4
M55,Musician 55,18,piano,North York,43.7422,-79.3833,car,True,1.6,1,1,3,4
M56,Musician 56,19,piano,Toronto-Downtown,43.6813,-79.3872,car,True,0.2,2,1,3,3
M57,Musician 57,19,guitar,Vaughan,43.8292,-79.487,car,True,1.0,4,1,2,2
M58,Musician 58,20,piano,Etobicoke,43.6449,-79.5232,car,True,2.2,2,1,3,5
M59,Musician 59,17,piano,Scarborough,43.7811,-79.2541,transit,False,3.6,3,1,3,5
M60,Musician 60,16,piano,Oakville,43.4233,-79.6821,guardian,False,2.5,2,1,3,6
