m1,m2,km
M05,M52,34.5
M52,M05,34.5
M05,M53,32.4
M53,M05,32.4
M05,M54,16.2
M54,M05,16.2
M05,M55,16.8
M55,M05,16.8
M05,M56,13.1
M56,M05,13.1
M05,M57,22.9
M57,M05,22.9
M05,M58,4.1
M58,M05,4.1
M05,M59,31.2
M59,M05,31.2
M05,M60,40.2
M60,M05,40.2
M06,M07,8.4
M07,M06,8.4
M06,M08,14.6
M08,M06,14.6
M06,M09,31.6
M09,M06,31.6
M06,M10,4.7
M10,M06,4.7
M06,M11,16.7
M11,M06,16.7
M06,M12,33.0
M12,M06,33.0
M06,M13,5.8
M13,M06,5.8
M06,M14,10.4
M14,M06,10.4
M06,M15,8.3
M15,M06,8.3
M06,M16,36.7
M16,M06,36.7
M06,M17,4.4
M17,M06,4.4
M06,M18,43.3
M18,M06,43.3
M06,M19,17.9
M19,M06,17.9
M06,M20,26.7
M20,M06,26.7
M06,M21,27.2
M21,M06,27.2
M06,M22,10.1
M22,M06,10.1
M06,M23,11.8
M23,M06,11.8
M06,M24,28.2
M24,M06,28.2
M06,M25,28.4
M25,M06,28.4
M06,M26,32.2
M26,M06,32.2
M06,M27,3.3
M27,M06,3.3
M06,M28,14.3
M28,M06,14.3
M06,M29,18.6
M29,M06,18.6
M06,M30,15.7
M30,M06,15.7
M06,M31,16.0
M31,M06,16.0
M06,M32,7.3
M32,M06,7.3
M06,M33,13.3
M33,M06,13.3
M06,M34,17.6
M34,M06,17.6
M06,M35,19.3
M35,M06,19.3
M06,M36,28.0
M36,M06,28.0
M06,M37,25.7
M37,M06,25.7
M06,M38,21.8
M38,M06,21.8
M06,M39,36.7
M39,M06,36.7
M06,M40,28.4
M40,M06,28.4
M06,M41,25.4
M41,M06,25.4
M06,M42,5.7
M42,M06,5.7
M06,M43,10.6
M43,M06,10.6
M06,M44,14.3
M44,M06,14.3
M06,M45,14.7
M45,M06,14.7
M06,M46,9.5
M46,M06,9.5
M06,M47,7.8
M47,M06,7.8
M06,M48,14.9
M48,M06,14.9
M06,M49,44.3
M49,M06,44.3
M06,M50,20.1
M50,M06,20.1
M06,M51,25.6
M51,M06,25.6
M06,M52,44.8
M52,M06,44.8
M06,M53,31.1
M53,M06,31.1
M06,M54,28.4
M54,M06,28.4
M06,M55,8.3
M55,M06,8.3
M06,M56,0.6
M56,M06,0.6
M06,M57,23.5
M57,M06,23.5
M06,M58,15.7
M58,M06,15.7
M06,M59,19.4
M59,M06,19.4
M06,M60,49.0
M60,M06,49.0
M07,M08,7.2
M08,M07,7.2
M07,M09,34.2
M09,M07,34.2
M07,M10,12.6
M10,M07,12.6
M07,M11,12.9
M11,M07,12.9
M07,M12,31.2
M12,M07,31.2
M07,M13,13.8
M13,M07,13.8
M07,M14,18.4
M14,M07,18.4
M07,M15,2.3
M15,M07,2.3
M07,M16,34.0
M16,M07,34.0
M07,M17,12.6
M17,M07,12.6
M07,M18,41.0
M18,M07,41.0
M07,M19,16.8
M19,M07,16.8
M07,M20,18.3
M20,M07,18.3
M07,M21,31.0
M21,M07,31.0
M07,M22,18.6
M22,M07,18.6
M07,M23,4.3
M23,M07,4.3
M07,M24,21.2
M24,M07,21.2
M07,M25,20.4
M25,M07,20.4
M07,M26,34.9
M26,M07,34.9
M07,M27,11.5
M27,M07,11.5
M07,M28,5.9
M28,M07,5.9
M07,M29,19.2
M29,M07,19.2
M07,M30,17.8
M30,M07,17.8
M07,M31,14.1
M31,M07,14.1
M07,M32,15.5
M32,M07,15.5
M07,M33,16.0
M33,M07,16.0
M07,M34,18.8
M34,M07,18.8
M07,M35,15.9
M35,M07,15.9
M07,M36,20.4
M36,M07,20.4
M07,M37,17.8
M37,M07,17.8
M07,M38,13.9
M38,M07,13.9
M07,M39,34.5
M39,M07,34.5
M07,M40,31.0
M40,M07,31.0
M07,M41,18.2
M41,M07,18.2
M07,M42,2.8
M42,M07,2.8
M07,M43,2.1
M43,M07,2.1
M07,M44,5.8
M44,M07,5.8
M07,M45,18.1
M45,M07,18.1
M07,M46,6.0
M46,M07,6.0
M07,M47,16.3
M47,M07,16.3
M07,M48,6.8
M48,M07,6.8
M07,M49,49.6
M49,M07,49.6
M07,M50,16.7
M50,M07,16.7
M07,M51,18.5
M51,M07,18.5
M07,M52,49.9
M52,M07,49.9
M07,M53,22.7
M53,M07,22.7
M07,M54,31.9
M54,M07,31.9
M07,M55,1.4
M55,M07,1.4
M07,M56,8.8
M56,M07,8.8
M07,M57,15.7
M57,M07,15.7
M07,M58,19.3
M58,M07,19.3
M07,M59,16.0
M59,M07,16.0
M07,M60,54.9
M60,M07,54.9
M08,M09,32.8
M09,M08,32.8
M08,M10,19.2
M10,M08,19.2
M08,M11,17.7
M11,M08,17.7
M08,M12,36.0
M12,M08,36.0
M08,M13,19.0
M13,M08,19.0
M08,M14,23.3
M14,M08,23.3
M08,M15,6.3
M15,M08,6.3
M08,M16,38.1
M16,M08,38.1
M08,M17,19.0
M17,M08,19.0
M08,M18,45.2
M18,M08,45.2
M08,M19,22.7
M19,M08,22.7
M08,M20,13.6
M20,M08,13.6
M08,M21,30.9
M21,M08,30.9
M08,M22,24.2
M22,M08,24.2
M08,M23,2.9
M23,M08,2.9
M08,M24,21.4
M24,M08,21.4
M08,M25,18.5
M25,M08,18.5
M08,M26,33.5
M26,M08,33.5
M08,M27,17.0
M27,M08,17.0
M08,M28,5.7
M28,M08,5.7
M08,M29,17.4
M29,M08,17.4
M08,M30,17.5
M30,M08,17.5
M08,M31,19.8
M31,M08,19.8
M08,M32,20.7
M32,M08,20.7
M08,M33,16.5
M33,M08,16.5
M08,M34,17.5
M34,M08,17.5
M08,M35,20.5
M35,M08,20.5
M08,M36,19.5
M36,M08,19.5
M08,M37,11.2
M37,M08,11.2
M08,M38,13.0
M38,M08,13.0
M08,M39,29.3
M39,M08,29.3
M08,M40,29.8
M40,M08,29.8
M08,M41,18.4
M41,M08,18.4
M08,M42,9.5
M42,M08,9.5
M08,M43,5.5
M43,M08,5.5
M08,M44,5.3
M44,M08,5.3
M08,M45,18.9
M45,M08,18.9
M08,M46,6.5
M46,M08,6.5
M08,M47,22.1
M47,M08,22.1
M08,M48,2.3
M48,M08,2.3
M08,M49,50.3
M49,M08,50.3
M08,M50,21.4
M50,M08,21.4
M08,M51,18.7
M51,M08,18.7
M08,M52,50.2
M52,M08,50.2
M08,M53,17.4
M53,M08,17.4
M08,M54,31.4
M54,M08,31.4
M08,M55,8.3
M55,M08,8.3
M08,M56,14.8
M56,M08,14.8
M08,M57,9.0
M57,M08,9.0
M08,M58,20.0
M58,M08,20.0
M08,M59,20.6
M59,M08,20.6
M08,M60,56.0
M60,M08,56.0
M09,M10,33.6
M10,M09,33.6
M09,M11,46.8
M11,M09,46.8
M09,M12,64.4
M12,M09,64.4
M09,M13,28.3
M13,M09,28.3
M09,M14,26.9
M14,M09,26.9
M09,M15,32.0
M15,M09,32.0
M09,M16,67.8
M16,M09,67.8
M09,M17,32.9
M17,M09,32.9
M09,M18,74.5
M18,M09,74.5
M09,M19,49.3
M19,M09,49.3
M09,M20,44.6
M20,M09,44.6
M09,M21,6.3
M21,M09,6.3
M09,M22,30.7
M22,M09,30.7
M09,M23,32.8
M23,M09,32.8
M09,M24,54.1
M24,M09,54.1
M09,M25,51.1
M25,M09,51.1
M09,M26,0.7
M26,M09,0.7
M09,M27,29.6
M27,M09,29.6
M09,M28,37.8
M28,M09,37.8
M09,M29,15.3
M29,M09,15.3
M09,M30,16.5
M30,M09,16.5
M09,M31,47.1
M31,M09,47.1
M09,M32,28.5
M32,M09,28.5
M09,M33,18.5
M33,M09,18.5
M09,M34,15.5
M34,M09,15.5
M09,M35,49.7
M35,M09,49.7
M09,M36,52.3
M36,M09,52.3
M09,M37,38.5
M37,M09,38.5
M09,M38,45.8
M38,M09,45.8
M09,M39,19.5
M39,M09,19.5
M09,M40,3.2
M40,M09,3.2
M09,M41,51.0
M41,M09,51.0
M09,M42,33.2
M42,M09,33.2
M09,M43,34.8
M43,M09,34.8
M09,M44,37.4
M44,M09,37.4
M09,M45,16.9
M45,M09,16.9
M09,M46,28.4
M46,M09,28.4
M09,M47,30.9
M47,M09,30.9
M09,M48,35.0
M48,M09,35.0
M09,M49,20.4
M49,M09,20.4
M09,M50,50.6
M50,M09,50.6
M09,M51,51.3
M51,M09,51.3
M09,M52,19.3
M52,M09,19.3
M09,M53,46.6
M53,M09,46.6
M09,M54,4.5
M54,M09,4.5
M09,M55,35.4
M55,M09,35.4
M09,M56,31.1
M56,M09,31.1
M09,M57,37.0
M57,M09,37.0
M09,M58,15.9
M58,M09,15.9
M09,M59,49.8
M59,M09,49.8
M09,M60,26.8
M60,M09,26.8
M10,M11,17.9
M11,M10,17.9
M10,M12,32.3
M12,M10,32.3
M10,M13,5.4
M13,M10,5.4
M10,M14,8.9
M14,M10,8.9
M10,M15,12.8
M15,M10,12.8
M10,M16,36.4
M16,M10,36.4
M10,M17,0.7
M17,M10,0.7
M10,M18,42.5
M18,M10,42.5
M10,M19,17.5
M19,M10,17.5
M10,M20,30.8
M20,M10,30.8
M10,M21,28.6
M21,M10,28.6
M10,M22,7.0
M22,M10,7.0
M10,M23,16.3
M23,M10,16.3
M10,M24,30.7
M24,M10,30.7
M10,M25,31.7
M25,M10,31.7
M10,M26,34.3
M26,M10,34.3
M10,M27,4.3
M27,M10,4.3
M10,M28,18.3
M28,M10,18.3
M10,M29,22.0
M29,M10,22.0
M10,M30,18.6
M30,M10,18.6
M10,M31,16.3
M31,M10,16.3
M10,M32,5.8
M32,M10,5.8
M10,M33,16.3
M33,M10,16.3
M10,M34,20.9
M34,M10,20.9
M10,M35,20.1
M35,M10,20.1
M10,M36,30.9
M36,M10,30.9
M10,M37,30.3
M37,M10,30.3
M10,M38,25.1
M38,M10,25.1
M10,M39,40.6
M39,M10,40.6
M10,M40,30.5
M40,M10,30.5
M10,M41,28.1
M41,M10,28.1
M10,M42,9.9
M42,M10,9.9
M10,M43,14.8
M43,M10,14.8
M10,M44,18.3
M44,M10,18.3
M10,M45,17.2
M45,M10,17.2
M10,M46,14.2
M46,M10,14.2
M10,M47,4.8
M47,M10,4.8
M10,M48,19.3
M48,M10,19.3
M10,M49,44.3
M49,M10,44.3
M10,M50,20.8
M50,M10,20.8
M10,M51,28.2
M51,M10,28.2
M10,M52,45.1
M52,M10,45.1
M10,M53,35.3
M53,M10,35.3
M10,M54,30.1
M54,M10,30.1
M10,M55,12.2
M55,M10,12.2
M10,M56,4.6
M56,M10,4.6
M10,M57,28.1
M57,M10,28.1
M10,M58,17.9
M58,M10,17.9
M10,M59,20.2
M59,M10,20.2
M10,M60,48.6
M60,M10,48.6
M11,M12,18.5
M12,M11,18.5
M11,M13,22.2
M13,M11,22.2
M11,M14,26.5
M14,M11,26.5
M11,M15,15.1
M15,M11,15.1
M11,M16,21.1
M16,M11,21.1
M11,M17,18.4
M17,M11,18.4
M11,M18,28.1
M18,M11,28.1
M11,M19,6.0
M19,M11,6.0
M11,M20,20.6
M20,M11,20.6
M11,M21,43.2
M21,M11,43.2
M11,M22,24.8
M22,M11,24.8
M11,M23,15.7
M23,M11,15.7
M11,M24,13.8
M24,M11,13.8
M11,M25,17.1
M25,M11,17.1
M11,M26,47.5
M26,M11,47.5
M11,M27,19.8
M27,M11,19.8
M11,M28,12.2
M28,M11,12.2
M11,M29,32.0
M29,M11,32.0
M11,M30,30.3
M30,M11,30.3
M11,M31,3.6
M31,M11,3.6
M11,M32,23.3
M32,M11,23.3
M11,M33,28.3
M33,M11,28.3
M11,M34,31.5
M34,M11,31.5
M11,M35,3.0
M35,M11,3.0
M11,M36,15.3
M36,M11,15.3
M11,M37,24.3
M37,M11,24.3
M11,M38,11.9
M38,M11,11.9
M11,M39,46.8
M39,M11,46.8
M11,M40,43.6
M40,M11,43.6
M11,M41,11.9
M41,M11,11.9
M11,M42,13.6
M42,M11,13.6
M11,M43,12.9
M43,M11,12.9
M11,M44,12.7
M44,M11,12.7
M11,M45,30.2
M45,M11,30.2
M11,M46,18.9
M46,M11,18.9
M11,M47,22.7
M47,M11,22.7
M11,M48,15.8
M48,M11,15.8
M11,M49,60.9
M49,M11,60.9
M11,M50,3.9
M50,M11,3.9
M11,M51,12.0
M51,M11,12.0
M11,M52,61.4
M52,M11,61.4
M11,M53,25.1
M53,M11,25.1
M11,M54,44.2
M54,M11,44.2
M11,M55,11.5
M55,M11,11.5
M11,M56,17.3
M56,M11,17.3
M11,M57,22.9
M57,M11,22.9
M11,M58,31.3
M58,M11,31.3
M11,M59,3.1
M59,M11,3.1
M11,M60,65.7
M60,M11,65.7
M12,M13,37.5
M13,M12,37.5
M12,M14,41.0
M14,M12,41.0
M12,M15,33.5
M15,M12,33.5
M12,M16,4.9
M16,M12,4.9
M12,M17,32.9
M17,M12,32.9
M12,M18,10.3
M18,M12,10.3
M12,M19,15.1
M19,M12,15.1
M12,M20,35.3
M20,M12,35.3
M12,M21,60.2
M21,M12,60.2
M12,M22,38.2
M22,M12,38.2
M12,M23,34.2
M23,M12,34.2
M12,M24,22.2
M24,M12,22.2
M12,M25,28.4
M25,M12,28.4
M12,M26,65.1
M26,M12,65.1
M12,M27,35.6
M27,M12,35.6
M12,M28,30.3
M28,M12,30.3
M12,M29,50.1
M29,M12,50.1
M12,M30,48.0
M30,M12,48.0
M12,M31,17.4
M31,M12,17.4
M12,M32,38.1
M32,M12,38.1
M12,M33,45.9
M33,M12,45.9
M12,M34,49.5
M34,M12,49.5
M12,M35,15.5
M35,M12,15.5
M12,M36,25.5
M36,M12,25.5
M12,M37,40.8
M37,M12,40.8
M12,M38,26.8
M38,M12,26.8
M12,M39,65.3
M39,M12,65.3
M12,M40,61.2
M40,M12,61.2
M12,M41,23.0
M41,M12,23.0
M12,M42,31.4
M42,M12,31.4
M12,M43,31.4
M43,M12,31.4
M12,M44,30.8
M44,M12,30.8
M12,M45,47.6
M45,M12,47.6
M12,M46,37.2
M46,M12,37.2
M12,M47,36.6
M47,M12,36.6
M12,M48,34.0
M48,M12,34.0
M12,M49,76.6
M49,M12,76.6
M12,M50,14.6
M50,M12,14.6
M12,M51,22.8
M51,M12,22.8
M12,M52,77.4
M52,M12,77.4
M12,M53,39.0
M53,M12,39.0
M12,M54,61.4
M54,M12,61.4
M12,M55,29.8
M55,M12,29.8
M12,M56,33.6
M56,M12,33.6
M12,M57,39.9
M57,M12,39.9
M12,M58,48.6
M58,M12,48.6
M12,M59,15.4
M59,M12,15.4
M12,M60,80.7
M60,M12,80.7
M13,M14,4.7
M14,M13,4.7
M13,M15,13.1
M15,M13,13.1
M13,M16,41.5
M16,M13,41.5
M13,M17,4.7
M17,M13,4.7
M13,M18,47.8
M18,M13,47.8
M13,M19,22.6
M19,M13,22.6
M13,M20,31.8
M20,M13,31.8
M13,M21,23.2
M21,M13,23.2
M13,M22,5.4
M22,M13,5.4
M13,M23,16.5
M23,M13,16.5
M13,M24,34.0
M24,M13,34.0
M13,M25,34.1
M25,M13,34.1
M13,M26,28.9
M26,M13,28.9
M13,M27,2.4
M27,M13,2.4
M13,M28,19.7
M28,M13,19.7
M13,M29,17.5
M29,M13,17.5
M13,M30,13.9
M30,M13,13.9
M13,M31,21.1
M31,M13,21.1
M13,M32,1.8
M32,M13,1.8
M13,M33,11.6
M33,M13,11.6
M13,M34,16.3
M34,M13,16.3
M13,M35,24.7
M35,M13,24.7
M13,M36,33.8
M36,M13,33.8
M13,M37,30.1
M37,M13,30.1
M13,M38,27.4
M38,M13,27.4
M13,M39,36.4
M39,M13,36.4
M13,M40,25.2
M40,M13,25.2
M13,M41,31.2
M41,M13,31.2
M13,M42,11.1
M42,M13,11.1
M13,M43,15.8
M43,M13,15.8
M13,M44,19.6
M44,M13,19.6
M13,M45,12.1
M45,M13,12.1
M13,M46,12.9
M46,M13,12.9
M13,M47,3.7
M47,M13,3.7
M13,M48,19.7
M48,M13,19.7
M13,M49,39.2
M49,M13,39.2
M13,M50,25.4
M50,M13,25.4
M13,M51,31.4
M51,M13,31.4
M13,M52,39.9
M52,M13,39.9
M13,M53,36.1
M53,M13,36.1
M13,M54,24.7
M54,M13,24.7
M13,M55,13.9
M55,M13,13.9
M13,M56,5.2
M56,M13,5.2
M13,M57,27.9
M57,M13,27.9
M13,M58,12.8
M58,M13,12.8
M13,M59,24.8
M59,M13,24.8
M13,M60,43.7
M60,M13,43.7
M14,M15,17.6
M15,M14,17.6
M14,M16,45.2
M16,M14,45.2
M14,M17,8.3
M17,M14,8.3
M14,M18,51.2
M18,M14,51.2
M14,M19,26.4
M19,M14,26.4
M14,M20,36.4
M20,M14,36.4
M14,M21,21.3
M21,M14,21.3
M14,M22,3.8
M22,M14,3.8
M14,M23,20.9
M23,M14,20.9
M14,M24,38.6
M24,M14,38.6
