musician_id,facility_id,distance_km
M32,SH02,19.8
M32,SH03,24.2
M32,SH04,13.6
M32,SH05,26.0
M32,SH06,34.5
M32,SH07,31.7
M33,SH01,13.8
M33,SH02,18.4
M33,SH03,29.4
M33,SH04,1.3
M33,SH05,16.3
M33,SH06,34.9
M33,SH07,26.2
M34,SH01,18.5
M34,SH02,20.3
M34,SH03,32.6
M34,SH04,3.8
M34,SH05,13.6
M34,SH06,36.5
M34,SH07,25.8
M35,SH01,23.6
M35,SH02,16.2
M35,SH03,2.0
M35,SH04,32.6
M35,SH05,47.6
M35,SH06,14.6
M35,SH07,25.2
M36,SH01,33.5
M36,SH02,17.1
M36,SH03,15.1
M36,SH04,36.6
M36,SH05,50.6
M36,SH06,0.9
M36,SH07,16.2
M37,SH01,31.1
M37,SH02,13.7
M37,SH03,25.0
M37,SH04,26.3
M37,SH05,37.4
M37,SH06,18.0
M37,SH07,1.7
M38,SH01,27.4
M38,SH02,10.4
M38,SH03,12.2
M38,SH04,29.9
M38,SH05,44.0
M38,SH06,6.1
M38,SH07,12.5
M39,SH01,38.6
M39,SH02,33.6
M39,SH03,47.8
M39,SH04,24.0
M39,SH05,20.5
M39,SH06,46.2
M39,SH07,30.5
M40,SH01,27.3
M40,SH02,32.8
M40,SH03,44.6
M40,SH04,14.0
M40,SH05,1.3
M40,SH06,48.9
M40,SH07,37.1
M41,SH01,30.8
M41,SH02,15.4
M41,SH03,11.8
M41,SH04,34.9
M41,SH05,49.3
M41,SH06,2.5
M41,SH07,17.1
M42,SH01,11.3
M42,SH02,7.2
M42,SH03,14.6
M42,SH04,16.1
M42,SH05,31.1
M42,SH06,22.0
M42,SH07,20.0
M43,SH01,16.2
M43,SH02,2.3
M43,SH03,14.0
M43,SH04,18.2
M43,SH05,32.9
M43,SH06,18.1
M43,SH07,15.2
M44,SH01,19.9
M44,SH02,1.7
M44,SH03,13.5
M44,SH04,21.2
M44,SH05,35.5
M44,SH06,14.8
M44,SH07,12.2
M45,SH01,14.3
M45,SH02,20.7
M45,SH03,31.3
M45,SH04,1.8
M45,SH05,14.5
M45,SH06,37.2
M45,SH07,28.5
M46,SH01,14.1
M46,SH02,7.7
M46,SH03,19.9
M46,SH04,11.9
M46,SH05,26.4
M46,SH06,24.2
M46,SH07,17.3
M47,SH01,2.2
M47,SH02,20.7
M47,SH03,23.6
M47,SH04,16.1
M47,SH05,28.4
M47,SH06,34.7
M47,SH07,33.0
M48,SH01,20.4
M48,SH02,2.8
M48,SH03,16.7
M48,SH04,19.4
M48,SH05,33.2
M48,SH06,16.9
M48,SH07,10.5
M49,SH01,40.7
M49,SH02,52.4
M49,SH03,61.9
M49,SH04,32.9
M49,SH05,20.8
M49,SH06,68.9
M49,SH07,58.8
M50,SH01,24.2
M50,SH02,17.0
M50,SH03,2.8
M50,SH04,33.4
M50,SH05,48.4
M50,SH06,14.8
M50,SH07,25.8
M51,SH01,31.0
M51,SH02,15.6
M51,SH03,11.8
M51,SH04,35.2
M51,SH05,49.5
M51,SH06,2.5
M51,SH07,17.4
M52,SH01,41.5
M52,SH02,52.5
M52,SH03,62.4
M52,SH04,32.9
M52,SH05,20.0
M52,SH06,68.9
M52,SH07,58.3
M53,SH01,36.7
M53,SH02,18.2
M53,SH03,25.5
M53,SH04,33.9
M53,SH05,45.5
M53,SH06,14.3
M53,SH07,7.1
M54,SH01,26.7
M54,SH02,34.0
M54,SH03,45.2
M54,SH04,14.6
M54,SH05,2.3
M54,SH06,50.3
M54,SH07,39.3
M55,SH01,14.0
M55,SH02,5.0
M55,SH03,12.6
M55,SH04,18.3
M55,SH05,33.3
M55,SH06,19.2
M55,SH07,18.0
M56,SH01,5.3
M56,SH02,13.3
M56,SH03,18.3
M56,SH04,14.2
M56,SH05,28.7
M56,SH06,27.8
M56,SH07,25.7
M57,SH01,28.8
M57,SH02,11.6
M57,SH03,23.6
M57,SH04,24.3
M57,SH05,35.8
M57,SH06,17.8
M57,SH07,2.7
M58,SH01,14.9
M58,SH02,21.9
M58,SH03,32.4
M58,SH04,2.7
M58,SH05,13.5
M58,SH06,38.3
M58,SH07,29.5
M59,SH01,23.6
M59,SH02,16.2
M59,SH03,2.0
M59,SH04,32.7
M59,SH05,47.6
M59,SH06,14.5
M59,SH07,25.2
M60,SH01,45.1
M60,SH02,57.9
M60,SH03,66.7
M60,SH04,38.6
M60,SH05,27.1
M60,SH06,74.4
M60,SH07,64.8
