musician_id,weekday,start_time,end_time
M20,Tue,12:30,17:00
M20,Wed,12:30,17:00
M20,Thu,09:00,12:30
M20,Fri,09:00,21:00
M20,Sun,09:00,21:00
M21,Mon,09:00,21:00
M21,Tue,17:00,21:00
M21,Sat,12:30,17:00
M22,Tue,09:00,21:00
M22,Wed,09:00,12:30
M22,Sat,12:30,17:00
M22,Sun,17:00,21:00
M23,Mon,17:00,21:00
M23,Wed,09:00,21:00
M23,Fri,09:00,12:30
M24,Mon,09:00,21:00
M24,Tue,17:00,21:00
M24,Thu,09:00,21:00
M24,Sat,17:00,21:00
M25,Sun,09:00,12:30
M26,Wed,09:00,21:00
M26,Fri,09:00,21:00
M26,Sat,09:00,21:00
M26,Sun,12:30,17:00
M27,Mon,17:00,21:00
M27,Tue,09:00,21:00
M27,Thu,17:00,21:00
M27,Fri,09:00,12:30
M28,Mon,09:00,21:00
M28,Tue,09:00,21:00
M28,Wed,09:00,12:30
M28,Sun,12:30,17:00
M29,Thu,09:00,21:00
M29,Fri,09:00,21:00
M29,Sun,12:30,17:00
M30,Tue,09:00,21:00
M30,Wed,12:30,17:00
M30,Thu,09:00,21:00
M30,Sat,17:00,21:00
M30,Sun,09:00,21:00
M31,Mon,09:00,12:30
M31,Fri,09:00,21:00
M31,Sat,09:00,21:00
M32,Wed,17:00,21:00
M32,Sun,12:30,17:00
M34,Mon,12:30,17:00
M34,Wed,09:00,21:00
M34,Fri,12:30,17:00
M34,Sat,09:00,21:00
M35,Mon,09:00,21:00
M35,Fri,09:00,21:00
M35,Sun,09:00,21:00
M36,Mon,09:00,12:30
M36,Wed,12:30,17:00
M36,Thu,09:00,21:00
M36,Fri,09:00,21:00
M36,Sat,09:00,21:00
M37,Wed,09:00,21:00
M37,Sun,12:30,17:00
M38,Mon,09:00,21:00
M38,Tue,09:00,21:00
M38,Wed,09:00,21:00
M38,Fri,09:00,21:00
M38,Sat,09:00,21:00
M38,Sun,09:00,21:00
M39,Mon,12:30,17:00
M39,Wed,09:00,12:30
M40,Tue,09:00,21:00
M40,Wed,09:00,21:00
M40,Thu,09:00,21:00
M41,Tue,09:00,21:00
M42,Mon,09:00,21:00
M42,Wed,17:00,21:00
M42,Fri,09:00,21:00
M42,Sat,09:00,21:00
M42,Sun,17:00,21:00
M43,Mon,12:30,17:00
M43,Wed,09:00,21:00
M43,Fri,17:00,21:00
M43,Sat,12:30,17:00
M43,Sun,09:00,21:00
M44,Wed,09:00,21:00
M44,Thu,09:00,21:00
M44,Sun,12:30,17:00
M45,Mon,09:00,21:00
M45,Tue,17:00,21:00
M45,Wed,09:00,21:00
M45,Thu,12:30,17:00
M45,Fri,09:00,21:00
M45,Sun,09:00,21:00
M47,Thu,12:30,17:00
M47,Sat,09:00,21:00
M47,Sun,09:00,21:00
M48,Sat,09:00,21:00
M48,Sun,09:00,21:00
M49,Wed,12:30,17:00
M49,Fri,09:00,21:00
M50,Mon,17:00,21:00
M50,Thu,09:00,21:00
M50,Sat,09:00,12:30
M51,Mon,12:30,17:00
M52,Wed,09:00,21:00
M52,Thu,09:00,12:30
M52,Fri,09:00,12:30
M52,Sat,12:30,17:00
M53,Mon,12:30,17:00
M53,Wed,09:00,21:00
M53,Sat,17:00,21:00
M54,Fri,09:00,21:00
M54,Sun,12:30,17:00
M55,Mon,17:00,21:00
M55,Tue,09:00,21:00
M55,Thu,09:00,12:30
M55,Sun,09:00,21:00
M56,Sun,09:00,21:00
M57,Tue,12:30,17:00
M57,Wed,17:00,21:00
M58,Tue,09:00,21:00
M58,Wed,17:00,21:00
M58,Fri,12:30,17:00
M59,Thu,12:30,17:00
M59,Fri,09:00,12:30
M59,Sat,17:00,21:00
M60,Thu,09:00,21:00
M60,Fri,09:00,21:00
M60,Sun,09:00,21:00
